# 现代汉语音节汇总（含声调）
# 共有1503个音节。
# 说明
#
# 拼音来自本文件中其他文件统计汇总，但是：
# - lün ㄌㄩㄣ，nia ㄋㄧㄚ，shong ㄕㄨㄥ，diang ㄉㄧㄤ等未出现在词典或编码规范中的，本文件不列入；
# - gie，giao，duang等网络用语、缺少对应汉字的纯拟声词，本文件不列入。
# - nèng 缺少例字（“濘”读音为nìng，少量资料中也注音为nèng，存疑）
#
# 字段备注：
# 注音：一般，竖排中使用“ㄧ”，横排中使用“丨”。
# 例字：优先选择常用字，其中部分为多音字。
# 状态：※为两岸词典都收录此音（1276个）；‽为词典暂无此音，如biáng 𰻝、fiào 覅（106个）；其余为某一词典收录，如tēi 忒（121个）。
# 字数统计，根据网络数据汇总得到，仅供参考；
# - 字数1:《现代汉语词典》（第7版）；
# - 字数2:《重編國語辭典》（修訂本）。
#
# 拼音声调	拼音数字	注音	注音（横排）	例字	字数1	字数2	状态

xiào	xiao4	ㄒㄧㄠˋ	ㄒ丨ㄠˋ	孝	11	11	※
xiē	xie1	ㄒㄧㄝ	ㄒ丨ㄝ	些	6	6	※
xié	xie2	ㄒㄧㄝˊ	ㄒ丨ㄝˊ	协	18	20	※
xiě	xie3	ㄒㄧㄝˇ	ㄒ丨ㄝˇ	写	2	3	※
xiè	xie4	ㄒㄧㄝˋ	ㄒ丨ㄝˋ	泄	34	36	※
xīn	xin1	ㄒㄧㄣ	ㄒ丨ㄣ	心	16	15	※
xín	xin2	ㄒㄧㄣˊ	ㄒ丨ㄣˊ	镡	1	3	※
xǐn	xin3	ㄒㄧㄣˇ	ㄒ丨ㄣˇ	伈	1	1	※
xìn	xin4	ㄒㄧㄣˋ	ㄒ丨ㄣˋ	信	6	7	※
xīng	xing1	ㄒㄧㄥ	ㄒ丨ㄥ	星	9	9	※
xíng	xing2	ㄒㄧㄥˊ	ㄒ丨ㄥˊ	刑	12	12	※
xǐng	xing3	ㄒㄧㄥˇ	ㄒ丨ㄥˇ	醒	4	4	※
xìng	xing4	ㄒㄧㄥˋ	ㄒ丨ㄥˋ	杏	9	11	※
xiōng	xiong1	ㄒㄩㄥ		兄	8	10	※
xióng	xiong2	ㄒㄩㄥˊ		雄	2	2	※
xiǒng	xiong3	ㄒㄩㄥˇ					‽
xiòng	xiong4	ㄒㄩㄥˋ		诇	2	2	※
xiū	xiu1	ㄒㄧㄡ	ㄒ丨ㄡ	休	11	10	※
xiú	xiu2	ㄒㄧㄡˊ	ㄒ丨ㄡˊ	苬			‽
xiǔ	xiu3	ㄒㄧㄡˇ	ㄒ丨ㄡˇ	朽	3	4	※
xiù	xiu4	ㄒㄧㄡˋ	ㄒ丨ㄡˋ	秀	12	12	※
xū	xu1	ㄒㄩ		需	20	23	※
xú	xu2	ㄒㄩˊ		徐	1	3	※
xǔ	xu3	ㄒㄩˇ		许	12	16	※
xù	xu4	ㄒㄩˋ		旭	23	29	※
xu	xu5	˙ㄒㄩ		蓿	1		
xuān	xuan1	ㄒㄩㄢ		宣	18	20	※
xuán	xuan2	ㄒㄩㄢˊ		玄	10	8	※
xuǎn	xuan3	ㄒㄩㄢˇ		选	5	4	※
xuàn	xuan4	ㄒㄩㄢˋ		炫	13	16	※
xuē	xue1	ㄒㄩㄝ		靴	3	3	※
xué	xue2	ㄒㄩㄝˊ		穴	7	7	※
xuě	xue3	ㄒㄩㄝˇ		雪	2	2	※
xuè	xue4	ㄒㄩㄝˋ		血	2	8	※
xūn	xun1	ㄒㄩㄣ		勋	10	13	※
xún	xun2	ㄒㄩㄣˊ		旬	20	22	※
xùn	xun4	ㄒㄩㄣˋ		训	13	17	※
yā	ya1	ㄧㄚ	丨ㄚ	丫	10	10	※
yá	ya2	ㄧㄚˊ	丨ㄚˊ	牙	12	10	※
yǎ	ya3	ㄧㄚˇ	丨ㄚˇ	哑	4	7	※
yà	ya4	ㄧㄚˋ	丨ㄚˋ	亚	11	16	※
ya	ya5	˙ㄧㄚ	˙丨ㄚ	呀	1		
yái	yai2	ㄧㄞˊ	丨ㄞˊ	厓		4	
yān	yan1	ㄧㄢ	丨ㄢ	焉	17	20	※
yán	yan2	ㄧㄢˊ	丨ㄢˊ	延	21	30	※
yǎn	yan3	ㄧㄢˇ	丨ㄢˇ	衍	29	35	※
yàn	yan4	ㄧㄢˋ	丨ㄢˋ	厌	28	38	※
yāng	yang1	ㄧㄤ	丨ㄤ	央	7	8	※
yáng	yang2	ㄧㄤˊ	丨ㄤˊ	扬	16	17	※
yǎng	yang3	ㄧㄤˇ	丨ㄤˇ	仰	5	8	※
yàng	yang4	ㄧㄤˋ	丨ㄤˋ	样	7	8	※
yāo	yao1	ㄧㄠ	丨ㄠ	腰	12	15	※
yáo	yao2	ㄧㄠˊ	丨ㄠˊ	尧	22	32	※
yǎo	yao3	ㄧㄠˇ	丨ㄠˇ	咬	5	15	※
yào	yao4	ㄧㄠˋ	丨ㄠˋ	药	10	13	※
yē	ye1	ㄧㄝ	丨ㄝ	椰	6	3	※
yé	ye2	ㄧㄝˊ	丨ㄝˊ	爷	5	10	※
yě	ye3	ㄧㄝˇ	丨ㄝˇ	也	3	4	※
yè	ye4	ㄧㄝˋ	丨ㄝˋ	业	16	27	※
ye	ye5	˙ㄧㄝ	˙丨ㄝ	吔		1	
yī	yi1	ㄧ	丨	一	22	27	※
yí	yi2	ㄧˊ	丨ˊ	仪	33	46	※
yǐ	yi3	ㄧˇ	丨ˇ	乙	21	26	※
yì	yi4	ㄧˋ	丨ˋ	亿	93	116	※
yīn	yin1	ㄧㄣ	丨ㄣ	音	22	21	※
yín	yin2	ㄧㄣˊ	丨ㄣˊ	吟	18	22	※
yǐn	yin3	ㄧㄣˇ	丨ㄣˇ	引	13	15	※
yìn	yin4	ㄧㄣˋ	丨ㄣˋ	印	9	12	※
yīng	ying1	ㄧㄥ	丨ㄥ	英	20	20	※
yíng	ying2	ㄧㄥˊ	丨ㄥˊ	迎	20	19	※
yǐng	ying3	ㄧㄥˇ	丨ㄥˇ	颖	5	6	※
yìng	ying4	ㄧㄥˋ	丨ㄥˋ	映	5	5	※
yō	yo1	ㄧㄛ	丨ㄛ	唷	3	1	※
yo	yo5	˙ㄧㄛ	˙丨ㄛ	哟	1		
yōng	yong1	ㄩㄥ		拥	17	20	※
yóng	yong2	ㄩㄥˊ		喁	2	2	※
yǒng	yong3	ㄩㄥˇ		永	14	16	※
yòng	yong4	ㄩㄥˋ		用	3	4	※
yōu	you1	ㄧㄡ	丨ㄡ	优	9	15	※
yóu	you2	ㄧㄡˊ	丨ㄡˊ	尤	24	26	※
yǒu	you3	ㄧㄡˇ	丨ㄡˇ	友	10	13	※
yòu	you4	ㄧㄡˋ	丨ㄡˋ	又	15	17	※
yū	yu1	ㄩ		迂	6	5	※
yú	yu2	ㄩˊ		于	48	64	※
yǔ	yu3	ㄩˇ		屿	22	23	※
yù	yu4	ㄩˋ		玉	59	81	※
yuān	yuan1	ㄩㄢ		渊	11	11	※
yuán	yuan2	ㄩㄢˊ		元	26	31	※
yuǎn	yuan3	ㄩㄢˇ		远	1	1	※
yuàn	yuan4	ㄩㄢˋ		苑	9	12	※
yuē	yue1	ㄩㄝ		曰	4	3	※
yuě	yue3	ㄩㄝˇ		哕	1		
yuè	yue4	ㄩㄝˋ		月	26	30	※
yūn	yun1	ㄩㄣ		晕	7	8	※
yún	yun2	ㄩㄣˊ		云	15	16	※
yǔn	yun3	ㄩㄣˇ		允	4	5	※
yùn	yun4	ㄩㄣˋ		孕	14	19	※
zā	za1	ㄗㄚ		匝	5	5	※
zá	za2	ㄗㄚˊ		杂	3	9	※
zǎ	za3	ㄗㄚˇ		咋	1		
zāi	zai1	ㄗㄞ		栽	4	5	※
zǎi	zai3	ㄗㄞˇ		宰	4	4	※
zài	zai4	ㄗㄞˋ		再	4	4	※
zān	zan1	ㄗㄢ		糌	3	4	※
zán	zan2	ㄗㄢˊ		咱	1	4	※
zǎn	zan3	ㄗㄢˇ		昝	6	8	※
zàn	zan4	ㄗㄢˋ		赞	6	9	※
zan	zan5	˙ㄗㄢ		咱	1		
zāng	zang1	ㄗㄤ		赃	4	5	※
zǎng	zang3	ㄗㄤˇ		驵	1	2	※
zàng	zang4	ㄗㄤˋ		葬	4	5	※
zāo	zao1	ㄗㄠ		遭	2	3	※
záo	zao2	ㄗㄠˊ		凿	1	1	※
zǎo	zao3	ㄗㄠˇ		早	6	7	※
zào	zao4	ㄗㄠˋ		皂	11	14	※
zé	ze2	ㄗㄜˊ		则	14	20	※
zě	ze3	ㄗㄜˇ		怎		1	
zè	ze4	ㄗㄜˋ		仄	3	7	※
zéi	zei2	ㄗㄟˊ		贼	2	1	※
zēn	zen1	ㄗㄣ		簪		1	
zěn	zen3	ㄗㄣˇ		怎	1	1	※
zèn	zen4	ㄗㄣˋ		谮	1	1	※
zēng	zeng1	ㄗㄥ		增	8	7	※
zěng	zeng3	ㄗㄥˇ		㽪			‽
zèng	zeng4	ㄗㄥˋ		赠	5	4	※
zhā	zha1	ㄓㄚ		渣	13	13	※
zhá	zha2	ㄓㄚˊ		闸	8	12	※
zhǎ	zha3	ㄓㄚˇ		眨	7	9	※
zhà	zha4	ㄓㄚˋ		乍	16	16	※
zha	zha5	˙ㄓㄚ		馇	1		
zhāi	zhai1	ㄓㄞ		摘	3	3	※
zhái	zhai2	ㄓㄞˊ		宅	3	3	※
zhǎi	zhai3	ㄓㄞˇ		窄	2	1	※
zhài	zhai4	ㄓㄞˋ		债	7	7	※
zhān	zhan1	ㄓㄢ		沾	13	18	※
zhǎn	zhan3	ㄓㄢˇ		斩	9	12	※
zhàn	zhan4	ㄓㄢˋ		栈	10	15	※
zhāng	zhang1	ㄓㄤ		章	12	14	※
zhǎng	zhang3	ㄓㄤˇ		掌	5	4	※
zhàng	zhang4	ㄓㄤˋ		丈	11	13	※
zhāo	zhao1	ㄓㄠ		招	8	7	※
zháo	zhao2	ㄓㄠˊ		着	1	1	※
zhǎo	zhao3	ㄓㄠˇ		找	3	3	※
zhào	zhao4	ㄓㄠˋ		兆	12	16	※
zhē	zhe1	ㄓㄜ		遮	4	5	※
zhé	zhe2	ㄓㄜˊ		哲	13	19	※
zhě	zhe3	ㄓㄜˇ		者	5	5	※
zhè	zhe4	ㄓㄜˋ		浙	7	9	※
zhe	zhe5	˙ㄓㄜ		着	2	1	※
zhèi	zhei4	ㄓㄟˋ		这	1	1	※
zhēn	zhen1	ㄓㄣ		针	24	27	※
zhén	zhen2	ㄓㄣˊ		𠵧			‽
zhěn	zhen3	ㄓㄣˇ		诊	11	16	※
zhèn	zhen4	ㄓㄣˋ		阵	11	19	※
zhēng	zheng1	ㄓㄥ		征	17	20	※
zhěng	zheng3	ㄓㄥˇ		拯	2	3	※
zhèng	zheng4	ㄓㄥˋ		证	10	8	※
zhī	zhi1	ㄓ		之	24	26	※
zhí	zhi2	ㄓˊ		执	14	27	※
zhǐ	zhi3	ㄓˇ		止	18	24	※
zhì	zhi4	ㄓˋ		至	54	61	※
zhōng	zhong1	ㄓㄨㄥ		忠	11	14	※
zhǒng	zhong3	ㄓㄨㄥˇ		肿	5	6	※
zhòng	zhong4	ㄓㄨㄥˋ		仲	8	6	※
zhōu	zhou1	ㄓㄡ		州	16	16	※
zhóu	zhou2	ㄓㄡˊ		轴	3	3	※
zhǒu	zhou3	ㄓㄡˇ		肘	2	2	※
zhòu	zhou4	ㄓㄡˋ		咒	19	17	※
zhū	zhu1	ㄓㄨ		朱	15	19	※
zhú	zhu2	ㄓㄨˊ		竹	9	16	※
zhǔ	zhu3	ㄓㄨˇ		主	11	13	※
zhù	zhu4	ㄓㄨˋ		助	22	33	※
zhuā	zhua1	ㄓㄨㄚ		抓	4	4	※
zhuǎ	zhua3	ㄓㄨㄚˇ		爪	1	1	※
zhuāi	zhuai1	ㄓㄨㄞ		拽	1	1	※
zhuǎi	zhuai3	ㄓㄨㄞˇ		转	2	1	※
zhuài	zhuai4	ㄓㄨㄞˋ		拽	1	1	※
zhuān	zhuan1	ㄓㄨㄢ		专	4	9	※
zhuǎn	zhuan3	ㄓㄨㄢˇ		转	1	3	※
zhuàn	zhuan4	ㄓㄨㄢˋ		撰	10	11	※
zhuāng	zhuang1	ㄓㄨㄤ		庄	4	4	※
zhuǎng	zhuang3	ㄓㄨㄤˇ		奘	1	1	※
zhuàng	zhuang4	ㄓㄨㄤˋ		壮	6	7	※
zhuī	zhui1	ㄓㄨㄟ		追	5	6	※
zhuǐ	zhui3	ㄓㄨㄟˇ					‽
zhuì	zhui4	ㄓㄨㄟˋ		坠	8	8	※
zhūn	zhun1	ㄓㄨㄣ		谆	6	6	※
zhǔn	zhun3	ㄓㄨㄣˇ		准	3	5	※
zhùn	zhun4	ㄓㄨㄣˋ		訰		1	
zhuō	zhuo1	ㄓㄨㄛ		捉	8	5	※
zhuó	zhuo2	ㄓㄨㄛˊ		灼	23	39	※
zhuò	zhuo4	ㄓㄨㄛˋ		𤓦			‽
zī	zi1	ㄗ		资	29	34	※
zí	zi2	ㄗˊ		𩬳			‽
zǐ	zi3	ㄗˇ		子	15	15	※
zì	zi4	ㄗˋ		自	9	12	※
zi	zi5	˙ㄗ		子		1	
zōng	zong1	ㄗㄨㄥ		宗	10	14	※
zǒng	zong3	ㄗㄨㄥˇ		总	3	5	※
zòng	zong4	ㄗㄨㄥˋ		纵	4	5	※
zōu	zou1	ㄗㄡ		邹	7	15	※
zǒu	zou3	ㄗㄡˇ		走	1	1	※
zòu	zou4	ㄗㄡˋ		奏	2	3	※
zū	zu1	ㄗㄨ		租	2	2	※
zú	zu2	ㄗㄨˊ		足	5	9	※
zǔ	zu3	ㄗㄨˇ		阻	6	5	※
zù	zu4	ㄗㄨˋ		駔		1	
zuān	zuan1	ㄗㄨㄢ		钻	2	2	※
zuǎn	zuan3	ㄗㄨㄢˇ		缵	2	5	※
zuàn	zuan4	ㄗㄨㄢˋ		钻	3	3	※
zuī	zui1	ㄗㄨㄟ		朘	1	2	※
zuǐ	zui3	ㄗㄨㄟˇ		嘴	3	3	※
zuì	zui4	ㄗㄨㄟˋ		最	6	9	※
zūn	zun1	ㄗㄨㄣ		尊	6	6	※
zǔn	zun3	ㄗㄨㄣˇ		撙	3	4	※
zùn	zun4	ㄗㄨㄣˋ		捘	1	3	※
zuō	zuo1	ㄗㄨㄛ		作	2	2	※
zuó	zuo2	ㄗㄨㄛˊ		昨	4	5	※
zuǒ	zuo3	ㄗㄨㄛˇ		左	3	3	※
zuò	zuo4	ㄗㄨㄛˋ		坐	12	14	※
zuo	zuo5	˙ㄗㄨㄛ					‽
